Title,Link,Price,Quantity In Stock
A Light in the Attic,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,51.77,22
Tipping the Velvet,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,53.74,20
Soumission,http://books.toscrape.com/catalogue/soumission_998/index.html,50.1,20
Sharp Objects,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,47.82,20
Sapiens: A Brief History of Humankind,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,54.23,20
The Requiem Red,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,22.65,19
The Dirty Little Secrets of Getting Your Dream Job,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,19
The Black Maria,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,52.15,19
"Starving Hearts (Triangular Trade Trilogy, #1)",http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,19
Shakespeare's Sonnets,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,20.66,19
Set Me Free,http://books.toscrape.com/catalogue/set-me-free_988/index.html,17.46,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,19
Rip it Up and Start Again,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,35.02,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,19
Olio,http://books.toscrape.com/catalogue/olio_984/index.html,23.88,19
Mesaerion: The Best Science Fiction Stories 1800-1849,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,19
Libertarianism for Beginners,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,51.33,19
It's Only the Himalayas,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,45.17,19
In Her Wake,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,12.84,19
How Music Works,http://books.toscrape.com/catalogue/how-music-works_979/index.html,37.32,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,19
Chase Me (Paris Nights #2),http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,25.27,19
Black Dust,http://books.toscrape.com/catalogue/black-dust_976/index.html,34.53,19
Birdsong: A Story in Pictures,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,54.64,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,19
Aladdin and His Wonderful Lamp,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,53.13,19
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,18
Wall and Piece,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,44.18,18
The Four Agreements: A Practical Guide to Personal Freedom,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,18
The Elephant Tree,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,23.82,18
The Bear and the Piano,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,36.89,18
Sophie's World,http://books.toscrape.com/catalogue/sophies-world_966/index.html,15.94,18
Penny Maybe,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,33.29,18
Maude (1883-1993):She Grew Up with the country,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,18
"In a Dark, Dark Wood",http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,19.63,18
Behind Closed Doors,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,52.22,18
You can't bury them all: Poems,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,33.63,17
Slow States of Collapse: Poems,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,57.31,17
Reasons to Stay Alive,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,26.41,17
Private Paris (Private #10),http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,47.61,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,17
Without Borders (Wanderlove #1),http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,45.07,16
When We Collided,http://books.toscrape.com/catalogue/when-we-collided_955/index.html,31.77,16
"We Love You, Charlie Freeman",http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,50.27,16
Untitled Collection: Sabbath Poems 2014,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,14.27,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,16
Unicorn Tracks,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,18.78,16
